Timestamp,Rank your movie choices. You don't have to do a full ranking. [First Choice],Rank your movie choices. You don't have to do a full ranking. [Second Choice],Rank your movie choices. You don't have to do a full ranking. [Third Choice],Rank your movie choices. You don't have to do a full ranking. [Fourth Choice],What theme should we explore next week? [First Choice],What theme should we explore next week? [Second Choice],What theme should we explore next week? [Third Choice],What theme should we explore next week? [Fourth Choice],What theme should we explore next week? [Fifth Choice]
2/23/2021 18:54:04,Miami Blues (1990),Miami Connection (1987),Lady in Cement (1968),Step Up Revolution (2012),"DAMN, THAT'S SOME SLEAZY SHIT!",WATCH A DOCUMENTARY YOU COWARDS,DE PALMA-RAMA,ANIMALS THAT /TALK/,[Default to Nicolas Cage]
2/23/2021 19:05:09,Step Up Revolution (2012),Miami Connection (1987),Miami Blues (1990),Lady in Cement (1968),WATCH A DOCUMENTARY YOU COWARDS,DE PALMA-RAMA,"DAMN, THAT'S SOME SLEAZY SHIT!",ANIMALS THAT /TALK/,[Default to Nicolas Cage]
2/25/2021 9:20:31,Miami Blues (1990),Step Up Revolution (2012),Miami Connection (1987),Lady in Cement (1968),WATCH A DOCUMENTARY YOU COWARDS,[Default to Nicolas Cage],ANIMALS THAT /TALK/,DE PALMA-RAMA,"DAMN, THAT'S SOME SLEAZY SHIT!"
2/23/2021 21:43:42,Step Up Revolution (2012),Miami Blues (1990),Miami Connection (1987),Lady in Cement (1968),WATCH A DOCUMENTARY YOU COWARDS,DE PALMA-RAMA,ANIMALS THAT /TALK/,"DAMN, THAT'S SOME SLEAZY SHIT!",[Default to Nicolas Cage]
2/23/2021 21:43:56,Lady in Cement (1968),Miami Blues (1990),Miami Connection (1987),Step Up Revolution (2012),WATCH A DOCUMENTARY YOU COWARDS,"DAMN, THAT'S SOME SLEAZY SHIT!",DE PALMA-RAMA,ANIMALS THAT /TALK/,[Default to Nicolas Cage]
2/23/2021 21:53:44,Step Up Revolution (2012),Miami Blues (1990),Lady in Cement (1968),Miami Connection (1987),ANIMALS THAT /TALK/,"DAMN, THAT'S SOME SLEAZY SHIT!",WATCH A DOCUMENTARY YOU COWARDS,DE PALMA-RAMA,[Default to Nicolas Cage]
2/23/2021 22:10:04,Miami Blues (1990),Lady in Cement (1968),,,DE PALMA-RAMA,WATCH A DOCUMENTARY YOU COWARDS,"DAMN, THAT'S SOME SLEAZY SHIT!",[Default to Nicolas Cage],ANIMALS THAT /TALK/
2/24/2021 4:50:51,Step Up Revolution (2012),Miami Connection (1987),Miami Blues (1990),Lady in Cement (1968),WATCH A DOCUMENTARY YOU COWARDS,DE PALMA-RAMA,[Default to Nicolas Cage],"DAMN, THAT'S SOME SLEAZY SHIT!",ANIMALS THAT /TALK/
2/24/2021 7:26:15,Step Up Revolution (2012),Miami Blues (1990),Miami Connection (1987),Lady in Cement (1968),ANIMALS THAT /TALK/,"DAMN, THAT'S SOME SLEAZY SHIT!",DE PALMA-RAMA,WATCH A DOCUMENTARY YOU COWARDS,[Default to Nicolas Cage]
2/24/2021 8:42:06,Miami Connection (1987),,,,"DAMN, THAT'S SOME SLEAZY SHIT!",ANIMALS THAT /TALK/,,,
2/24/2021 19:48:28,Miami Connection (1987),Miami Blues (1990),Lady in Cement (1968),Step Up Revolution (2012),"DAMN, THAT'S SOME SLEAZY SHIT!",WATCH A DOCUMENTARY YOU COWARDS,DE PALMA-RAMA,ANIMALS THAT /TALK/,[Default to Nicolas Cage]